Generation,X,Y,Fitness
1,5,5,1.82843
1,5,5,1.82843
1,6,6,1.67542
1,6,6,1.67542
1,4,4,1.67542
1,6,5,1.30902
1,5,6,1.30902
1,5,6,1.30902
1,5,4,1.30902
1,5,6,1.30902
1,6,5,1.30902
1,4,3,1.02615
1,3,4,1.02615
1,6,7,1.02615
1,5,7,0.9878
1,3,6,0.868034
1,6,3,0.868034
1,6,3,0.868034
1,7,4,0.868034
1,3,3,0.866161
1,3,3,0.866161
1,3,3,0.866161
1,2,4,0.75633
1,4,2,0.75633
1,6,8,0.75633
1,6,8,0.75633
1,4,2,0.75633
1,6,8,0.75633
1,6,8,0.75633
1,6,8,0.75633
1,8,6,0.75633
1,5,8,0.754211
1,8,5,0.754211
1,5,8,0.754211
1,2,5,0.754211
1,3,7,0.74171
1,7,3,0.74171
1,7,3,0.74171
1,6,2,0.701457
1,2,6,0.701457
1,2,6,0.701457
1,3,2,0.692813
1,8,7,0.692813
1,3,2,0.692813
1,7,8,0.692813
1,2,3,0.692813
1,2,3,0.692813
1,2,3,0.692813
1,8,7,0.692813
1,3,8,0.629453
1,3,7,6.91487e-310
1,4,5,6.91487e-310
1,5,6,6.91487e-310
1,6,8,6.91487e-310
1,4,3,6.91487e-310
1,3,3,6.91487e-310
1,6,7,6.91487e-310
1,6,5,6.91487e-310
1,3,5,6.91487e-310
1,4,4,6.91487e-310
1,7,5,6.91487e-310
1,3,3,6.91487e-310
1,5,7,6.91487e-310
1,7,5,6.91487e-310
1,4,4,6.91487e-310
1,6,8,6.91487e-310
1,3,3,6.91487e-310
1,3,5,6.91487e-310
1,4,6,6.91487e-310
1,2,2,6.91487e-310
1,4,5,6.91487e-310
1,5,5,6.91487e-310
1,7,6,6.91487e-310
1,6,8,6.91487e-310
1,5,6,6.91487e-310
1,7,7,6.91487e-310
1,3,3,6.91487e-310
1,4,5,6.91487e-310
1,5,5,6.91487e-310
1,6,7,6.91487e-310
1,3,4,6.91487e-310
1,4,4,6.91487e-310
1,4,6,6.91487e-310
1,6,5,6.91487e-310
1,4,7,6.91487e-310
1,6,4,6.91487e-310
1,7,4,6.91487e-310
1,5,5,6.91487e-310
1,5,7,6.91487e-310
1,3,2,6.91487e-310
1,4,5,6.91487e-310
1,4,4,6.91487e-310
1,4,5,6.91487e-310
1,3,6,6.91487e-310
1,5,7,6.91487e-310
1,3,3,6.91487e-310
1,6,3,6.91487e-310
1,6,4,6.91487e-310
1,5,4,6.91487e-310
1,4,4,6.91487e-310
2,5,5,1.82843
2,5,5,1.82843
2,5,5,1.82843
2,5,5,1.82843
2,5,5,1.82843
2,4,4,1.67542
2,4,4,1.67542
2,4,4,1.67542
2,4,4,1.67542
2,4,4,1.67542
2,6,6,1.67542
2,6,6,1.67542
2,4,4,1.67542
2,6,5,1.30902
2,4,5,1.30902
2,5,6,1.30902
2,6,5,1.30902
2,5,6,1.30902
2,5,4,1.30902
2,4,5,1.30902
2,5,6,1.30902
2,5,6,1.30902
2,4,5,1.30902
2,5,6,1.30902
2,6,5,1.30902
2,6,5,1.30902
2,4,5,1.30902
2,4,5,1.30902
2,5,4,1.30902
2,4,6,1.08088
2,6,4,1.08088
2,4,6,1.08088
2,6,4,1.08088
2,6,7,1.02615
2,3,4,1.02615
2,7,6,1.02615
2,6,7,1.02615
2,4,3,1.02615
2,4,3,1.02615
2,3,4,1.02615
2,6,7,1.02615
2,7,5,0.9878
2,3,5,0.9878
2,5,7,0.9878
2,7,5,0.9878
2,3,5,0.9878
2,5,7,0.9878
2,5,7,0.9878
2,5,7,0.9878
2,6,3,0.868034
2,5,5,6.91487e-310
2,4,5,6.91487e-310
2,6,5,6.91487e-310
2,5,5,6.91487e-310
2,4,4,6.91487e-310
2,5,5,6.91487e-310
2,3,5,6.91487e-310
2,6,5,6.91487e-310
2,3,6,6.91487e-310
2,5,6,6.91487e-310
2,4,5,6.91487e-310
2,4,4,6.91487e-310
2,6,5,6.91487e-310
2,6,5,6.91487e-310
2,4,4,6.91487e-310
2,5,4,6.91487e-310
2,6,4,6.91487e-310
2,5,6,6.91487e-310
2,3,4,6.91487e-310
2,5,5,6.91487e-310
2,5,6,6.91487e-310
2,6,5,6.91487e-310
2,4,6,6.91487e-310
2,5,6,6.91487e-310
2,5,5,6.91487e-310
2,6,5,6.91487e-310
2,6,5,6.91487e-310
2,5,4,6.91487e-310
2,5,6,6.91487e-310
2,5,5,6.91487e-310
2,4,4,6.91487e-310
2,5,6,6.91487e-310
2,5,5,6.91487e-310
2,4,4,6.91487e-310
2,4,5,6.91487e-310
2,4,4,6.91487e-310
2,4,5,6.91487e-310
2,4,4,6.91487e-310
2,5,5,6.91487e-310
2,5,5,6.91487e-310
2,5,5,6.91487e-310
2,5,6,6.91487e-310
2,5,4,6.91487e-310
2,4,5,6.91487e-310
2,5,5,6.91487e-310
2,5,6,6.91487e-310
2,5,7,6.91487e-310
2,5,4,6.91487e-310
2,5,5,6.91487e-310
2,6,5,6.91487e-310
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,5,5,1.82843
3,6,6,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,4,4,1.67542
3,6,6,1.67542
3,4,4,1.67542
3,4,5,1.30902
3,6,5,1.30902
3,5,6,1.30902
3,6,5,1.30902
3,6,5,1.30902
3,5,4,1.30902
3,5,6,1.30902
3,5,6,1.30902
3,5,6,1.30902
3,6,5,1.30902
3,5,6,1.30902
3,6,5,1.30902
3,6,5,1.30902
3,5,4,1.30902
